midrangemusic.com,2013-07-08,2014-01-04,music,58,59,59,60,65,72,66,58,61,62,60,65,72,69,60,60,59,61,65,71,70,60,60,61,61,64,73,71,61,63,61,64,66,72,70,60,63,61,64,64,70,69,60,60,60,61,65,72,73,74,67,64,64,65,71,68,59,60,60,61,62,71,69,62,61,61,64,64,71,68,61,61,62,64,67,72,71,61,61,62,62,64,70,68,59,60,62,62,64,70,67,60,60,62,62,65,73,69,62,61,63,63,65,70,69,59,61,61,62,65,69,68,61,62,63,64,65,74,74,65,64,63,68,66,73,72,65,63,63,64,68,76,70,63,65,63,65,67,73,72,80,67,64,65,65,72,68,63,65,66,70,100,81,75,66,65,67,66,69,81,80,65,67,66,66,70,75,74,74,72,81,69,67,71,69,65,73,72,61,62,66
shadowcxo.com,2018-02-07,2018-08-06,shadow c,37,38,70,51,51,45,75,45,68,55,52,34,44,30,51,22,54,34,42,58,29,73,43,23,17,33,58,44,45,30,62,59,100,37,58,36,37,61,68,17,66,44,44,45,31,35,60,45,45,53,55,34,44,44,31,30,59,23,16,34,42,44,36,29,22,39,87,76,87,37,60,38,79,70,69,65,22,37,60,39,17,34,45,39,37,75,47,52,34,30,67,45,38,46,35,26,22,59,44,30,16,26,35,46,15,23,53,63,26,61,54,15,52,61,23,71,44,30,15,52,45,16,44,52,65,55,62,52,55,71,43,37,29,30,30,31,17,26,73,29,59,30,32,17,34,37,89,54,61,22,34,34,29,50,42,38,48,35,70,45,45,54,16,47,71,26,46,46,76,61,62,43,18,45,44,45,43,54,52,42,22
electrart.com,2012-11-24,2013-05-23,electra rt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
aapbusinessventures.com,2018-04-14,2018-10-11,business ventures,30,39,46,42,43,52,27,25,20,50,55,42,52,45,25,20,61,45,21,39,40,45,20,30,34,30,65,18,10,30,38,42,59,52,59,40,25,44,68,51,39,54,25,25,35,30,60,22,72,15,45,73,17,56,39,36,50,25,83,43,40,55,9,30,35,42,50,21,47,36,10,15,46,42,17,52,37,10,19,34,64,27,53,47,29,49,38,50,47,35,55,20,40,39,34,35,44,36,20,35,39,70,78,35,44,20,10,52,47,43,71,49,30,10,64,38,51,51,22,15,29,69,17,48,48,52,30,35,40,87,35,79,40,25,35,51,51,51,64,30,14,24,26,37,25,49,57,29,33,62,70,41,89,30,34,24,64,54,63,100,47,29,38,54,62,58,50,35,19,14,58,62,59,50,26,44,33,50,45,34,56
realitybeyondbelief.com,2012-11-07,2013-05-06,reality belief,0,51,0,0,0,51,0,0,52,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,49,0,0,0,0,0,0,0,0,100,0,0,0,0,99,0,50,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0,0,0,0,0,0,94,0,48,0,55,0,47,93,46,95,0,0,0,0,0,46,47,49,0,55,0,47,0,48,0,0,0,0,0,0,0,0,0,0,0,47,93,0,0,0,0,90,0,46,47,0,0,0,0,0,46,0,0,0,0,45,0,0,46,0,0,0,0,0,0,46,0,0,0,0,0,47,0,0,0,57,48,0,0,0,94,0,0,0,0,45,0,0,0,0,0,0,0,46,0,55,55,0,90,0,0,0,54,55,45,46,0,47,0,0,0,0
multicbd.com,2018-02-06,2018-08-05,cbd,70,68,69,66,68,67,67,73,66,70,73,78,74,70,68,73,75,71,70,71,67,69,69,68,68,67,72,67,69,74,69,70,75,71,70,75,69,73,71,70,70,74,76,83,87,83,85,78,78,78,89,82,78,74,77,72,76,76,77,75,78,76,76,73,79,81,76,77,75,74,79,78,83,96,93,88,88,85,83,86,80,79,80,85,87,78,83,84,77,80,82,81,85,85,86,86,86,84,85,84,89,84,77,84,88,84,86,84,83,83,85,81,86,83,83,82,88,88,81,82,87,86,87,89,90,87,88,92,89,82,85,85,91,90,93,90,88,91,90,88,96,95,90,95,91,87,83,88,88,89,86,88,85,87,89,90,95,92,98,93,91,93,94,94,97,97,98,92,95,97,97,96,97,97,96,95,98,99,96,100,96
plumbingtraders.com,2018-02-05,2018-08-04,plumbing traders,43,0,0,44,0,50,0,0,0,0,0,0,0,0,43,43,0,0,45,0,0,0,0,0,42,0,0,0,42,0,0,0,0,0,0,0,0,42,0,44,0,48,43,0,64,0,0,0,100,0,0,45,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,46,50,0,0,42,0,0,0,0,0,42,0,0,0,0,0,0,0,46,0,0,46,51,0,0,0,0,0,45,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,44,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
myofr.com,2012-09-26,2013-03-25,r,57,57,57,58,60,56,57,57,55,55,58,62,60,58,56,56,56,60,60,57,58,56,58,58,62,62,60,60,65,65,67,62,62,57,57,57,59,62,65,66,61,62,59,63,65,71,69,65,65,64,64,67,72,75,71,71,73,76,100,87,79,88,77,72,70,71,76,78,73,73,73,73,73,79,76,73,72,72,72,73,78,76,75,72,71,70,71,78,74,68,56,63,60,57,59,57,54,53,56,55,57,59,59,54,56,53,53,55,58,56,53,53,55,54,54,58,56,55,54,56,55,56,59,57,56,56,57,59,58,60,56,56,58,57,56,55,59,58,57,58,57,53,55,58,57,56,56,56,55,56,57,55,55,55,54,56,56,57,58,56,55,55,56,56,59,57,55,54,53,54,55,56,57,56,56,55,56,54,57,57,55
612lancaster.com,2014-11-12,2015-05-11,612,19,16,14,20,14,16,17,16,13,17,14,13,19,17,13,13,13,13,13,18,16,17,19,16,20,11,18,18,17,17,21,12,15,17,18,17,25,21,13,17,16,15,14,17,16,17,16,18,20,24,38,39,37,26,27,26,37,75,60,39,29,34,34,61,100,66,45,33,36,38,64,77,33,25,18,21,19,19,22,17,17,13,19,21,20,18,19,17,12,18,20,16,14,16,14,13,14,16,17,23,21,16,14,17,14,17,18,22,17,13,17,20,17,20,17,14,13,19,21,17,19,13,15,13,18,18,18,16,20,12,12,18,19,14,21,18,14,16,20,20,17,20,17,16,13,27,22,19,20,23,20,15,19,16,18,19,16,17,10,19,17,20,19,17,17,16,20,18,16,19,20,18,16,16,16,18,20,19,18,17,21
papelove.com,2013-01-18,2013-07-17,love,63,71,71,61,60,60,60,62,70,72,61,63,61,62,66,72,74,63,65,63,65,67,75,78,68,70,75,100,70,75,72,62,63,61,61,63,70,70,59,60,59,58,61,68,69,57,59,58,61,63,69,70,60,61,59,58,62,67,69,59,60,60,61,62,70,70,60,61,61,63,66,68,71,61,59,60,61,62,68,69,58,59,60,62,62,68,70,58,63,64,63,63,71,72,61,63,62,63,62,68,71,60,61,66,61,64,70,70,61,60,62,62,64,73,71,59,60,60,62,61,70,71,62,60,60,61,61,68,68,59,62,61,63,63,69,70,62,61,62,62,61,71,71,60,61,61,61,64,70,71,59,62,59,61,64,70,70,61,63,61,63,64,73,73,62,64,61,62,62,72,73,62,65,63,63,66,72,71,61,62,61
